rnn_siam_stack_300_0.2 dev acc 0.718

2018-06-23 09:38:35 rnn_siam_attend train
2018-06-23 11:33:14 rnn_siam_attend train
rnn_siam_attend_500_0.8 train f1  0.997
rnn_siam_attend_500_0.8 train acc 0.999

rnn_siam_attend_500_0.2 dev f1  0.377
rnn_siam_attend_500_0.2 dev acc 0.687

2018-06-23 11:33:23 rnn_siam_bi_attend train
2018-06-23 15:30:14 rnn_siam_bi_attend train
rnn_siam_bi_attend_500_0.1 train f1  1.000
rnn_siam_bi_attend_500_0.1 train acc 1.000

rnn_siam_bi_attend_500_0.2 dev f1  0.380
rnn_siam_bi_attend_500_0.2 dev acc 0.678

2018-07-05 20:15:45 rnn_siam_plain train
2018-07-05 21:02:40 rnn_siam_plain train
rnn_siam_plain_100_0.5 train f1  0.998
rnn_siam_plain_100_0.5 train acc 0.999

rnn_siam_plain_100_0.3 dev f1  0.514
rnn_siam_plain_100_0.3 dev acc 0.800

2018-07-05 21:02:54 rnn_siam_stack train
2018-07-05 22:40:19 rnn_siam_stack train
rnn_siam_stack_100_0.6 train f1  0.993
rnn_siam_stack_100_0.6 train acc 0.998

rnn_siam_stack_100_0.3 dev f1  0.510
rnn_siam_stack_100_0.3 dev acc 0.779

2018-07-10 14:45:54 rnn_join_plain train
2018-07-10 15:08:41 rnn_join_plain train
rnn_join_plain_100_0.4 train f1  0.638
rnn_join_plain_100_0.4 train acc 0.869

rnn_join_plain_100_0.2 dev f1  0.377
rnn_join_plain_100_0.2 dev acc 0.676

2018-07-10 15:08:50 rnn_join_stack train
2018-07-10 15:49:57 rnn_join_stack train
rnn_join_stack_100_0.4 train f1  0.894
rnn_join_stack_100_0.4 train acc 0.961

rnn_join_stack_100_0.2 dev f1  0.378
rnn_join_stack_100_0.2 dev acc 0.713

2018-07-14 16:39:14 rnn_siam_plain train
2018-07-14 17:26:19 rnn_siam_plain train
rnn_siam_plain_100_0.6 train f1  0.998
rnn_siam_plain_100_0.6 train acc 0.999

rnn_siam_plain_100_0.3 dev f1  0.516
rnn_siam_plain_100_0.3 dev acc 0.797

2018-07-14 17:26:33 rnn_siam_stack train
2018-07-14 19:03:56 rnn_siam_stack train
rnn_siam_stack_100_0.6 train f1  0.994
rnn_siam_stack_100_0.6 train acc 0.998

rnn_siam_stack_100_0.3 dev f1  0.513
rnn_siam_stack_100_0.3 dev acc 0.772

2018-07-14 19:04:22 rnn_siam_attend train
2018-07-14 19:55:38 rnn_siam_attend train
rnn_siam_attend_100_0.5 train f1  0.964
rnn_siam_attend_100_0.5 train acc 0.987

rnn_siam_attend_100_0.2 dev f1  0.493
rnn_siam_attend_100_0.2 dev acc 0.743

2018-07-14 19:55:55 rnn_siam_bi_attend train
2018-07-14 21:40:23 rnn_siam_bi_attend train
rnn_siam_bi_attend_100_0.4 train f1  0.995
rnn_siam_bi_attend_100_0.4 train acc 0.998

rnn_siam_bi_attend_100_0.2 dev f1  0.505
rnn_siam_bi_attend_100_0.2 dev acc 0.756

2018-07-15 11:10:21 rnn_siam_plain train
2018-07-15 11:59:24 rnn_siam_plain train
rnn_siam_plain_100_0.6 train f1  0.999
rnn_siam_plain_100_0.6 train acc 0.999

rnn_siam_plain_100_0.3 dev f1  0.541
rnn_siam_plain_100_0.3 dev acc 0.818

2018-07-15 11:59:37 rnn_siam_stack train
2018-07-15 13:39:08 rnn_siam_stack train
rnn_siam_stack_100_0.6 train f1  0.994
rnn_siam_stack_100_0.6 train acc 0.998

rnn_siam_stack_100_0.3 dev f1  0.537
rnn_siam_stack_100_0.3 dev acc 0.781

2018-07-15 13:39:35 rnn_siam_attend train
2018-07-15 14:32:54 rnn_siam_attend train
rnn_siam_attend_100_0.5 train f1  0.985
rnn_siam_attend_100_0.5 train acc 0.995

rnn_siam_attend_100_0.3 dev f1  0.522
rnn_siam_attend_100_0.3 dev acc 0.807

2018-07-15 17:03:00 rnn_siam_bi_attend train
2018-07-15 18:50:49 rnn_siam_bi_attend train
rnn_siam_bi_attend_100_0.5 train f1  0.995
rnn_siam_bi_attend_100_0.5 train acc 0.998

rnn_siam_bi_attend_100_0.2 dev f1  0.521
rnn_siam_bi_attend_100_0.2 dev acc 0.764

2018-07-15 20:48:41 rnn_join_plain train
2018-07-15 21:12:37 rnn_join_plain train
rnn_join_plain_100_0.5 train f1  0.959
rnn_join_plain_100_0.5 train acc 0.985

rnn_join_plain_100_0.2 dev f1  0.418
rnn_join_plain_100_0.2 dev acc 0.674

2018-07-15 21:12:45 rnn_join_stack train
2018-07-15 21:56:57 rnn_join_stack train
rnn_join_stack_100_0.5 train f1  0.985
rnn_join_stack_100_0.5 train acc 0.995

rnn_join_stack_100_0.3 dev f1  0.445
rnn_join_stack_100_0.3 dev acc 0.783

2018-07-19 09:59:31 rnn_siam_bi train
2018-07-19 11:06:05 rnn_siam_bi train
rnn_siam_bi_100_0.5 train f1  0.999
rnn_siam_bi_100_0.5 train acc 1.000

rnn_siam_bi_100_0.3 dev f1  0.543
rnn_siam_bi_100_0.3 dev acc 0.819

2018-07-19 14:20:31 rnn_join_bi train
2018-07-19 14:31:51 rnn_join_bi train
rnn_join_bi_100_0.3 train f1  0.960
rnn_join_bi_100_0.3 train acc 0.985

rnn_join_bi_100_0.3 dev f1  0.435
