std,nstd
花呗,花被
借呗,戒备
闲鱼,咸鱼
滴滴,嘀嘀
哈罗,哈喽
饿了么,饿了吗
网商贷,网贷商
网商贷,网商代
使用,实用
功能,工能
你,您
你,你们
我,俺
我,偶
我,吾
没,没有
没,木有
啥,什么
啥,神马
啥,什莫
咋,怎么样
咋,怎么
咋,怎样
咋,如何
干啥,干嘛
为啥,为嘛
其它,其他
